Wordnet name , Name index , is object counts , is part counts , ADE names , Attributes , Has parts , Is part of 
"pitcher, ewer",1892,285,0,pitcher,"ceramic, copper, electric, glass, water heater","base, bowl, faucet, handle, lid, opening",
knife,1378,281,0,"knife, knife set, knives",,,
"case, display case, showcase, vitrine",420,274,0,showcase,,door,
semi-flush mount light,3103,274,0,semi-flush mount light,"diffused, diffused volumetric, direct, general, indirect, off, on, punctual, task, volumetric","backplate, bulb, canopy, cord, diffusor, highlight, light source, shade",
"document, written document, papers",762,272,0,papers,,,
"light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb",1445,272,0,bulb,"accent, direct, general, off, on, punctual, volumetric","arm, highlight, light source",
"booklet, brochure, folder, leaflet, pamphlet",242,271,0,"brochures, folder",,,
"pool table, billiard table, snooker table",1948,269,0,billiard table,,"apron, ball storage, base, bed, cabinet, corner pocket, leg, rail, side pocket, skirt",
place mat,1896,264,0,place mat,,,
coffee maker,569,261,0,coffee maker,,"button, buttons, display, lid, pot",
bar,123,256,0,"bar, bars",,"door, drawer",
"deck chair, beach chair",704,256,0,deck chair,,"arm, arm support, back, leg, seat, seat base",
jacket,1346,252,0,"jacket, jackets",,,
radiator,2046,252,0,radiator,,,
"backpack, back pack, knapsack, packsack, rucksack, haversack",90,250,0,backpack,,,
fish,948,249,0,fish,"seal, wooden",,
arcade machine,47,248,0,arcade machine,"basketball, rear",sign,
drawing,791,245,3,drawing,,"painting, picture",
price tag,2005,240,0,price tag,,,
statue,2547,204,33,statue,"cow, elephant, lobster","car, grass","building, edifice, monument, signboard, sign"
bird,198,235,0,bird,"chick, chicken, chickens, chiken, crow, decoration, duck, eagle, hen, pigeon, roaster, seagull, stuffed, stuffing, turkey",,
teacup,2722,234,0,teacup,teacup,"base, bowl, handle, opening, plate",
"laptop, laptop computer",1407,233,0,laptop,screen,"keyboard, screen",
"banner, streamer",118,232,0,banner,,,
"cliff, drop, drop-off",524,232,0,"cliff, cliffs",,waterfall,
"gym shoe, sneaker, tennis shoe",1158,231,0,"sneaker, sneakers",,,
shirt,2339,230,0,"shirt, shirts",,,
"remote control, remote",2099,225,0,remote control,,,
"grandstand, covered stand",1121,222,0,grandstand,,railings,
teapot,2723,221,0,teapot,"ceramic, metal","handle, lid",
pen,1810,218,0,pen,,,
parking meter,1779,214,0,parking meter,,,
"merchandise, ware, product",1533,203,0,merchandise,,,
kitchen island,1374,202,0,kitchen island,,"apron, back, column, door, drawer, front, leg, panel, shelf, shelves, side, skirt, stove, top, work surface",
tower,2828,179,23,tower,"concrete, control, spotlight, steel","balcony, balustrade, battlement, battlements, bell tower, clock, column, dome, door, embrasure, pane, railing, roof, vane, window","building, edifice, mosque"
"partition, divider",1784,196,0,divider,wood,"buttons, telephone",
"washer, automatic washer, washing machine",2989,196,0,washing machine,,"button, button panel, buttons, detergent dispenser, dial, door, front, screen, side",
traffic cone,2834,194,0,traffic cone,,,
"toilet tissue, toilet paper, bathroom tissue",2792,192,0,toilet paper,support,"toilet paper holder, toilet paper roll",
videos,2955,188,0,videos,,,
cap,394,132,53,cap,cork,"bottle, pot, vase",
"antenna, aerial, transmitting aerial",32,184,0,aerial,,,
soap dispenser,2465,183,0,soap dispenser,,,
spotlight,3121,183,0,"spotlight, spotlights","off, on",,
embankment,855,178,0,embankment,,,
rod,2148,175,3,"curtain rod, rod","metal, wood, wrought iron",hook,"closet, toilet paper holder"
ladder,1391,153,23,ladder,,rung,"beacon, lighthouse, beacon light, pharos, bed"
"screen door, screen",2251,172,0,shower screen,"translucent, transparent",handle,
"trunk, tree trunk, bole",2885,171,0,"tree trunk, trunk, trunks",,,
"cue, cue stick, pool cue, pool stick",675,170,0,cue,,,
"vent, venthole, vent-hole, blowhole",2941,170,0,"air vent, vent",,,
"slot machine, coin machine",2443,168,0,"slot machine, slot machines",,screen,
"kettle, boiler",1367,166,0,kettle,electric,"handle, lid, spout",
"fireplug, fire hydrant, plug",944,165,0,fire hydrant,,,
"booth, cubicle, stall, kiosk",247,164,0,"cubicle, kiosk",,"grille, pane, roof, window",
rack,2036,163,0,"clothes rack, rack",ceiling,,
boot,245,161,0,"boot, boots",,,
"canister, cannister, tin",385,161,0,"canister, utensils canister",nesquik,,
"stall, stand, sales booth",2537,161,0,stall,fish,,
"heater, warmer",1223,160,0,heater,,logo,
shower,2356,155,4,shower,faucet,"bathtub, bathing tub, bath, tub",
"dishrag, dishcloth",746,158,0,dishcloth,,,
"pier, wharf, wharfage, dock",1858,157,0,dock,,,
vending machine,2939,157,0,vending machine,"cigarette, magazine, newspaper",,
"buffet, counter, sideboard",308,156,0,sideboard,wood,"door, drawer, front, leg, pane, shelf, side, skirt, top",
fork,1019,155,0,fork,,,
spoon,2505,154,0,spoon,"big, large, wood",,
system,2683,153,0,"music system, system",ipod,"dial, speaker",
"binder, ring-binder",196,152,0,"binder, binders",,,
crane,643,151,0,crane,,,
hanger,1186,151,0,hanger,,hook,
"cow, moo-cow",638,150,0,cow,,,
"dog, domestic dog, Canis familiaris",3113,145,0,dog,,,
"bread, breadstuff, staff of life",286,141,0,bread,slice,,
"tank, storage tank",2704,139,0,tank,water,,
pallet,1740,138,0,pallet,wooden,,
"pottery, clayware",1986,136,0,pottery,,,
cart,418,132,1,cart,,wheel,carousel
torchiere lamp,3118,133,0,torchiere lamp,"diffuse, direct, general, genral, indirect, off, on, punctual, task, volumetric","arm, base, column, highlight, light source, shade, tube",
easel,839,131,0,easel,,,
machine,1481,131,0,"air machine, appliance, exercise machine, machine","car assembly, gauges, medical, robot","bed, control panel, grille, handle",
"postbox, mailbox, letter box",1963,131,0,"mailbox, mailboxes",,,
"screen, silver screen, projection screen",2254,131,0,projection screen,roller,,
chest,490,130,0,chest,wood,"cover, drawer, front, handle, leg, lid, side",
"trouser, pant",2877,130,0,trousers,,,
"candelabrum, candelabra",373,129,0,candelabra,,candle,
"jersey, T-shirt, tee shirt",3107,129,0,"t-shirt, t-shirts","green, red",,
"console table, console",594,127,0,console table,,"apron, base, drawer, foot, leg, legs, shelf, skirt, top",
"horse, Equus caballus",3115,125,0,horse,wood,,
"hovel, hut, hutch, shack, shanty",1282,124,0,hut,,"chimney, door, roof, window",
"microphone, mike",1549,124,0,microphone,,,
"decoration, ornament, ornamentation",709,123,0,decoration,,,
saucepan,2228,120,0,saucepan,,"handle, lid",
stage,2526,119,0,stage,,curtain,
hay,1202,118,0,"hay, hay roll, hay rolls",,,
pack,1714,118,0,"pack, packs",gum,,
runway,2185,118,0,runway,,,
soap,2462,118,0,soap,,,
"tent, collapsible shelter",2739,115,0,tent,,"door, entrance",
fountain,1023,114,0,fountain,,"diffuser, faucet, sculpture, water, wheel",
dummy,818,113,0,dummy,"head, torso",,
"towel rack, towel horse",2824,112,0,towel rack,,,
"skylight, fanlight",2422,111,0,skylight,,"pane, rail, sill, slide",
toaster,2782,111,0,toaster,,"bread lift, bread slot, dial, foot, front, logo, side",
"wire, conducting wire",3067,111,0,wire,,,
cross,662,110,0,cross,,,
printer,2007,107,0,printer,,,
"sweater, jumper",2661,107,0,"sweater, sweaters",,,
paper towel,1769,105,0,paper towels,dispenser,,
"bouquet, corsage, posy, nosegay",256,102,0,bouquet,,,
ashtray,65,101,0,ashtray,glass,,
guitar,1151,101,0,guitar,,,
platform,1924,101,0,platform,,,
"scaffolding, staging",2235,100,0,scaffolding,,"cross bracing, post, rail, toe board",
"dish, dish aerial, dish antenna, saucer",743,99,0,satellite dish,,,
cradle,642,97,0,cradle,,"drawer, footboard, headboard, leg, safety side, side",
net,1652,94,3,net,"rope, wire","table tennis, tennis table",
bell,175,57,39,bell,,"bell tower, building, edifice",
dirt track,738,95,0,dirt track,,,
mast,1508,90,4,mast,,"boat, sailboat, sailing boat",
pond,1941,94,0,pond,,"stone, water",
"escalator, moving staircase, moving stairway",868,92,0,escalator,,"balustrade, handrail, riser, sign, step, steps, tread",
"spectacles, specs, eyeglasses, glasses",2490,92,0,glasses,wine,,
"telephone booth, phone booth, call box, telephone box, telephone kiosk",2727,92,0,telephone booth,,,
exhibitor,877,91,0,exhibitor,,,
"footbridge, overcrossing, pedestrian bridge",1013,91,0,footbridge,,"floor, railing",
skull,2418,91,0,skull,,,
"label, recording label",1386,90,0,label,"cro, mastercard, no smoking, visa",,
"billboard, hoarding",194,88,0,billboard,,,
soap dish,2464,86,0,soap dish,,,
"conveyer belt, conveyor belt, conveyer, conveyor, transporter",609,85,0,conveyor belt,,,
"file, file cabinet, filing cabinet",925,83,0,filing cabinet,metal,"door, drawer",
rifle,2115,83,0,rifle,,,
"streetcar, tram, tramcar, trolley, trolley car",2615,83,0,trolley,,cds,
block,214,82,0,block,wood,,
"tapestry, tapis",2714,82,0,tapestry,,,
"train, railroad train",2840,82,0,train,,"door, doors, headlight, locomotive, wagon, window, windshield",
sprinkler,2517,81,0,sprinkler,,,
"arcade, colonnade",49,80,0,"arcade, arcades",,,
"newspaper, paper",1655,80,0,"newspaper, newspapers",,,
"swimming pool, swimming bath, natatorium",2668,80,0,swimming pool,,water,
casserole,426,79,0,casserole,copper,,
"pedestal, plinth, footstall",1805,79,0,pedestal,,,
rope,2160,77,1,rope,wrestling ring,boat,
"ice, water ice",1304,76,0,ice,,,
"piano, pianoforte, forte-piano",1849,76,0,piano,"electronic, electrycal","buttons, keys, lectern, leg, lid, piano pedals",
ship,2337,76,0,ship,moored,"railing, window",
"fire extinguisher, extinguisher, asphyxiator",939,75,0,fire extinguisher,,,
"lumber, timber",1479,74,0,lumber,,,
"altar, communion table, Lord's table",3116,74,0,altar,,,
"blackboard, chalkboard",202,73,0,blackboard,,,
"fabric, cloth, material, textile",889,73,0,cloth,,,
"ad, advertisement, advertizement, advertising, advertizing, advert",6,72,0,advertisement,,,
stick,2574,72,0,stick,,,
coffee cup,565,71,0,coffee cup,,,
"shower stall, shower bath",2362,71,0,shower stall,,,
"handle, grip, handgrip, hold",1181,69,0,handle,"metal, umbrella",,
"numeral, number",1670,69,0,number,,,
projector,2012,69,0,projector,,,
"windmill, aerogenerator, wind generator",3049,69,0,windmill,old,"arm, blade, door, window",
briefcase,296,68,0,briefcase,,,
lake,1393,68,0,lake,,,
sandal,2218,68,0,sandal,,,
sun,2641,68,0,sun,,,
"eiderdown, duvet, continental quilt",843,67,0,duvet,"pink, stamping, striped, white, yellow",,
equipment,867,67,0,equipment,"electrical, medical, nautical, scientific",keyboard,
"grand piano, grand",1119,67,0,grand piano,,"keys, leg",
hot tub,1272,67,0,hot tub,,"faucet, handrail, water",
"beacon, lighthouse, beacon light, pharos",160,66,0,lighthouse,,"chimney, door, interior casing, ladder, pane, railing, roof, window",
"pipe, tube",1885,64,0,tube,,,
wall recessed light,2981,64,0,wall recessed light,"accent, diffused, direct, general, indirect, linear, off, on, on diffused, punctual, surface, volumetric","aperture, backplate, bulb, diffusor, highlight, light source, shade",
"camera, photographic camera",366,63,0,camera,,,
"elevator, lift",853,63,0,elevator,bar,"buttons panel, ceiling, floor, pane, wall, window",
"hen, biddy",1232,63,0,hen,,,
brush,300,62,0,brush,,,
crock,658,62,0,crock,,handle,
court,631,61,0,court,,,
"carapace, shell, cuticle, shield",3106,61,0,shell,,,
bamboo,113,60,0,bamboo cane,,,
"basket, basketball hoop, hoop",145,60,0,basketball hoop,,,
bus stop,326,60,0,bus stop,,,
mineral,1560,60,0,mineral,,,
"arch, archway",52,59,0,arch,corridor,,
"baby buggy, baby carriage, carriage, perambulator, pram, stroller, go-cart, pushchair, pusher",79,59,0,baby carriage,,,
"cash register, register",422,59,0,cash register,,,
"leaf, leafage, foliage",1419,58,0,leaf,,,
"rocking chair, rocker",3112,58,0,rocking chair,wood,"apron, arm, back, leg, log, rocker, rocking, seat, seat base, seat cushion, stile, stretcher",
"sailboat, sailing boat",3120,58,0,sailboat,,"hull, mast, sail",
balloon,108,57,0,balloon,,,
school desk,3202,57,0,school desk,,,
cactus,356,56,0,cactus,,,
forecourt,1016,56,0,forecourt,,,
"mousepad, mouse mat",1614,56,0,mousepad,,,
"baseboard, mopboard, skirting board",141,55,0,baseboard,wood,,
frying pan,1039,54,0,frying pan,,,
"scale, weighing machine",2236,53,0,scales,,,
vault,2934,53,0,vault,glass,,
"mouse, computer mouse",1613,52,0,mouse,,,
trailer,2838,51,0,trailer,,,
"trophy, prize",2875,51,0,trophy,,,
closet,533,50,0,closet,,"cabinet, chest of drawers, door, drawer, rod, shelf",
"gas pump, gasoline pump, petrol pump, island dispenser",3139,50,0,petrol pump,,,
"candy, confect",382,49,0,candy,,,
island,1343,49,0,island,,,
map,1499,49,0,map,,frame,
meter,1543,49,0,meter,,,
planter,1911,49,0,planter,,,
barrier,134,48,0,barrier,,,
cold storage,574,48,0,cold storage,,"hinge, lock",
table football,2687,48,0,table football,,,
"mezzanine, first balcony",1546,47,0,mezzanine,coffered,railing,
paper roll,1767,47,0,paper roll,,,
"rubbish, trash, scrap",2175,47,0,trash,,,
"aircraft carrier, carrier, flattop, attack aircraft carrier",3151,47,0,aircraft carrier,,,
calendar,361,45,0,calendar,,,
cannon,387,45,0,cannon,,,
card,404,45,0,card,,,
mattress,1513,42,2,mattress,,"landfill, sofa, couch, lounge",
"ninepin, skittle, skittle pin",3135,44,0,"skittle, skittles",,,
desk organizer,727,43,0,desk organizer,,,
"display window, shop window, shopwindow, show window",754,43,0,shop window,,,
helmet,1231,43,0,helmet,,,
hotplate,1274,43,0,hotplate,,dial,
playground,1927,43,0,playground,,"railing, slide, steps, swing",
"ingot, metal bar, block of metal",1327,42,0,ingots,,,
sliding door,2439,40,2,sliding door,,"windowpane, window",
"chopping board, cutting board",503,41,0,cutting board,,,
dish rack,740,40,1,dish rack,,cabinet,
lectern,1425,40,1,lectern,wood,"piano, pianoforte, forte-piano",
plaque,1914,41,0,plaque,street name,,
video,2950,41,0,video,,,
controls,608,40,0,controls,,,
elevator door,851,40,0,elevator door,,"door frame, handle",
finger,929,39,1,finger,,right hand,
folders,992,40,0,folders,,,
grille door,1141,37,3,grille door,,"building, edifice",
hangers,1188,40,0,hangers,,,
radio,2047,40,0,radio,,,
slide,2436,22,18,slide,,"lower sash, playground, sash, skylight, fanlight, upper sash, windowpane, window",
tumble dryer,2889,40,0,tumble dryer,,dial,
"card game, cards",3137,40,0,cards,,,
berth,182,39,0,berth,"double size, single",side,
deck,702,38,1,deck,wood,boat,
railway,2060,39,0,railway,,,
"shop, store",2347,39,0,shop,,,
workbench,3088,39,0,workbench,,drawer,
barrels,132,38,0,barrels,"in rack, rack",,
lockers,1463,38,0,lockers,,door,
meat,1517,38,0,meat,hanging,,
pitch,1891,38,0,pitch,,,
smoke,2449,38,0,smoke,,,
television camera,2732,38,0,television camera,,,
tins,2774,38,0,tins,food,,
tomb,2800,38,0,tomb,,,
violin,2964,38,0,violin,,,
brushes,301,37,0,brushes,,,
candies,374,37,0,candies,,,
clothes hanging,537,37,0,clothes hanging,,,
duck,813,37,0,duck,,,
hook,1262,22,15,hook,,"hanger, rod",
porch,1951,23,14,porch,,"building, edifice, house",
vegetables,2936,37,0,vegetables,"carrots, cauliflower",,
wood,3073,37,0,wood,,,
"ball, globe, orb",107,36,0,globe,,,
blender,210,36,0,blender,,pot,
coat,552,36,0,coat,,,
curtains,688,36,0,curtains,"translucent, valance, window scarf",,
food processor,1001,36,0,food processor,,,
hanging clothes,1189,36,0,hanging clothes,,,
leaves,1424,34,2,leaves,,tree,
necklace,1647,36,0,necklace,,,
pictures,1852,36,0,pictures,"painting, photo, photos",,
sand dune,2213,36,0,sand dune,,,
scoreboard,2246,36,0,scoreboard,,,
straw,2600,36,0,straw,bales,,
television stand,2734,36,0,television stand,,"door, drawer",
tunnel,2892,36,0,tunnel,,,
tureen,2894,36,0,tureen,ceramic,"handle, lid",
artificial golf green,63,35,0,artificial golf green,,,
blinds,213,31,4,blinds,"horizontal, roller, vertical","fabric, head rail, slats","building, edifice"
bowls,265,35,0,bowls,,,
display board,753,35,0,display board,,,
"ice floe, floe",1295,35,0,floe,,,
niche,1657,35,0,niche,,,
pool,1943,35,0,pool,,"faucet, water",
sacks,2188,35,0,sacks,empty,,
table tennis,2692,35,0,table tennis,,net,
"valley, vale",2926,35,0,valley,urban,,
bidet,188,34,0,bidet,,"bowl, drain, faucet, lid, tap",
"cellular telephone, cellular phone, cellphone, cell, mobile phone",457,34,0,cell phone,,,
ceramic box,463,34,0,ceramic box,,,
clothespin,540,34,0,clothespin,,,
diploma,736,34,0,diploma,,,
folding screen,997,34,0,folding screen,,,
magazine rack,1486,34,0,magazine rack,,,
notepad,1664,34,0,notepad,,,
"pylon, power pylon",2028,34,0,pylon,,,
ring,2123,34,0,ring,,,
saltcellar,2210,34,0,saltcellar,,,
tile,2769,34,0,tile,,,
"water faucet, water tap, tap, hydrant",3000,34,0,tap,,,
bottle rack,251,27,6,bottle rack,,cabinet,
cutlery,693,33,0,cutlery,,,
mask,1505,33,0,mask,decoration,,
paddle,1724,33,0,paddle,wood,,
shops,2351,33,0,shops,,,
cabin,349,32,0,cabin,,"door, window",
cds,444,29,3,cds,stacked,"streetcar, tram, tramcar, trolley, trolley car",
plug,1933,27,5,plug,cork,"jar, sink, wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle",
roll,2149,32,0,roll,paper,,
stands,2539,32,0,stands,,,
bowling alley,260,31,0,bowling alley,,,
broom,299,31,0,broom,,,
cage,357,31,0,cage,"exterior, large, wire","door, hutch, toy",
cane,383,31,0,cane,,,
caravan,402,31,0,caravan,,"curtain, door, taillight, wheel, window",
cookies,612,31,0,cookies,,,
file cabinet,922,31,0,file cabinet,,drawer,
hatchery,1199,31,0,hatchery,,,
headphones,1215,31,0,headphones,,,
helicopter,1229,30,1,helicopter,,"blade, cockpit, door, fuselage, landing gar, landing gear, propeller, skids, stabilizer, window",carousel
music stand,1633,31,0,music stand,,,
pool balls,1945,31,0,pool balls,,,
scarf,2239,31,0,scarf,,,
seagull,2267,31,0,seagull,,,
shelter,2334,31,0,shelter,,"bench, chimney, door, roof, window",
slope,2442,31,0,slope,snowy,,
street sign,2613,31,0,street sign,,,
track,2830,31,0,track,,,
water tower,3010,31,0,water tower,,,
breads,288,30,0,breads,,,
brochure,297,30,0,brochure,,,
car scrapping,398,30,0,car scrapping,,wheel,
decor,708,30,0,decor,,,
dvd,822,30,0,dvd,,,
hair dryer,1161,30,0,hair dryer,,,
hose,1267,30,0,hose,,,
machinery,1483,30,0,machinery,,,
planks,1905,30,0,planks,wood,,
pulpit,2019,30,0,pulpit,,,
slipper,2440,30,0,slipper,,,
table game,2688,30,0,table game,,,
cooker,610,29,0,cooker,,lid,
recycling bin,2086,29,0,recycling bin,,,
"steering wheel, wheel",2565,29,0,steering wheel,,,
support,2649,27,2,support,wood,"cabinet, table",
test,2745,29,0,test,,,
toilet brush,2786,29,0,toilet brush,,,
toothbrush,2811,29,0,toothbrush,electric,,
towel ring,2827,29,0,towel ring,,,
bread rolls,283,28,0,bread rolls,,,
ceramic pot,464,28,0,ceramic pot,,handle,
dvd player,825,28,0,dvd player,,,
fabric,887,21,7,fabric,rolls,"blind, screen, blinds",
menu,1529,28,0,menu,,,
mill,1554,28,0,mill,,"arm, blade",
monument,1587,28,0,monument,,statue,
punching bag,2022,28,0,punching bag,,,
ride,2108,28,0,ride,,,
ruins,2179,28,0,ruins,,door,
figure,917,27,0,figure,"ceramic, porcelain, wood",,
napkin ring,1643,27,0,napkin ring,,,
podium,1934,27,0,podium,,,
security camera,2282,27,0,security camera,,,
"altarpiece, reredos",3138,27,0,altarpiece,,,
whitewater,3391,27,0,whitewater,,,
carousel,410,26,0,carousel,,"cart, circus, helicopter, hobby-horse, light bulb, lights, mirror, model, models, pole, roof, sign",
carport,414,26,0,carport,,,
elephant,849,26,0,elephant,,,
float,965,26,0,float,,,
folding door,995,24,2,folding door,,"door frame, knob","wardrobe, closet, press"
harp,1196,26,0,harp,,,
nuts,1672,26,0,nuts,,,
ramp,2072,25,1,ramp,,"building, edifice",
check-in-desk,482,25,0,check-in-desk,,,
ice rink,1301,25,0,ice rink,,,
iceberg,1305,25,0,iceberg,,,
instrument panel,1332,25,0,instrument panel,,"rudder, screen",
key,1368,20,5,"key, keys",,"door, handle",
mat,1509,25,0,mat,,,
meat piece,1521,25,0,meat piece,,,
mobile,1572,25,0,mobile,,,
pier,1857,25,0,pier,,,
plant pots,1908,25,0,plant pots,,,
roundabout,2168,25,0,roundabout,,"curb, garden",
sand trap,2217,25,0,sand trap,,,
shanties,2315,25,0,shanties,,"door, window",
shanty,2316,25,0,shanty,,window,
structure,2626,25,0,structure,"covered, exterior, garden, jet bridge, metal, petrol station, roof covering","petrol pump, sign",
sugar bowl,2636,25,0,sugar bowl,,,
sweatshirts,2663,25,0,sweatshirts,,,
target,2715,25,0,target,,,
tennis court,2736,25,0,tennis court,,,
"windshield, windscreen",3058,25,0,windshield,,,
canvas,390,24,0,canvas,,,
locker,1462,24,0,locker,door,,
"patio, terrace",1790,24,0,terrace,,,
racket,2039,24,0,racket,,,
shovel,2355,24,0,shovel,"construction, mechanical",,
spice rack,2494,24,0,spice rack,,dial,
"alarm, warning device, alarm system",3123,24,0,alarm,,,
"alarm clock, alarm",3131,24,0,alarm clock,,"buttons, digital clock",
aqueduct,44,23,0,aqueduct,,,
cable,352,23,0,cable,electric,,
chess,489,23,0,chess,,,
control tower,607,22,1,control tower,,window,"building, edifice"
"dormer, dormer window",782,23,0,dormer,,,
office partition,1679,23,0,office partition,,,
pan,1745,23,0,pan,"decorative, frying",handle,
parterre,1782,23,0,parterre,,,
pavilion,1792,23,0,pavilion,,,
puddle,2017,23,0,puddle,,,
safety belt,2194,23,0,safety belt,,,
skeleton,2398,23,0,skeleton,,,
synthesizer,2682,23,0,synthesizer,,,
tongs,2803,23,0,tongs,,,
wheelchair,3037,23,0,wheelchair,,,
booth,246,22,0,booth,,,
bowling pins,264,22,0,bowling pins,,,
chips,500,22,0,chips,,,
chocolate,501,22,0,chocolate,,,
lava,1415,22,0,lava,,,
light switches,1449,22,0,light switches,,,
molding,1580,22,0,molding,,,
pallets,1741,22,0,pallets,,,
postcard,1964,22,0,postcard,,,
voting booth,2970,22,0,voting booth,,,
weights,3030,22,0,weights,,,
badge,93,21,0,badge,,,
bulldozer,317,21,0,bulldozer,construction,,
chicken,493,21,0,chicken,roast,,
crate,649,21,0,crate,,,
eaves,840,11,10,eaves,,"building, edifice, roof",
embrasure,857,19,2,embrasure,,tower,
plastic,1915,21,0,plastic,,,
"push button, push, button",2025,21,0,"button, buttons","green light, red light",,
rocky formation,2145,21,0,rocky formation,,,
skittle alley,2416,21,0,skittle alley,,,
stapler,2540,21,0,stapler,,,
test tube,2746,21,0,test tube,,,
utensils,2915,21,0,utensils,,,
weighbridge,3028,21,0,weighbridge,,,
cat,430,20,0,cat,,,
dam,698,20,0,dam,,,
eyeglasses,886,20,0,eyeglasses,,,
file box,920,20,0,file box,,,
flip flop,963,20,0,flip flop,,,
forklift,1020,20,0,forklift,,wheel,
goal,1103,20,0,goal,,,
golf club,1111,20,0,golf club,,,
gutter,1156,12,8,gutter,,"building, edifice, house, roof",
hats,1200,20,0,hats,,,
jam,1347,20,0,jam,,,
machine gun,1482,20,0,machine gun,,,
paintbrush,1734,20,0,paintbrush,,,
pantry,1754,20,0,pantry,,"door, drawer, hinge, shelf, top",
pumpkin,2020,20,0,pumpkin,,,
sewing machine,2309,20,0,sewing machine,,drawer,
stalactite,2533,20,0,stalactite,,,
ticket window,2765,11,9,ticket window,,"box office, ticket office, ticket booth, building, edifice",
trellis,2857,20,0,trellis,,,
trench,2858,20,0,trench,,,
kitchen,3269,20,0,kitchen,,,
bandstand,116,19,0,bandstand,,"column, roof, steps",
barrel rack,130,19,0,barrel rack,,,
book stand,238,19,0,book stand,,,
brick,292,19,0,brick,glass,,
closet rod,534,19,0,closet rod,,,
dishes,745,19,0,dishes,,,
earrings,835,19,0,earrings,,,
floodlight,970,19,0,"floodlight, floodlights",,,
foodstuffs,1003,19,0,foodstuffs,,,
gazebo,1087,19,0,gazebo,,"door, floor, pillar, roof, steps",
goods,1113,19,0,goods,,,
ice bucket,1288,19,0,ice bucket,,,
kitchen utensils,1376,19,0,kitchen utensils,,,
organ,1695,19,0,organ,,,
pepper shaker,1826,19,0,pepper shaker,,,
salt,2203,19,0,salt,,,
sweatshirt,2662,19,0,sweatshirt,,,
terraces,2744,15,4,terraces,,"building, edifice",
toilet paper holder,2788,18,1,toilet paper holder,,"rod, wall mount","toilet tissue, toilet paper, bathroom tissue"
vineyard,2962,19,0,vineyard,,,
wheelbarrow,3036,19,0,wheelbarrow,,"tray, wheel",
badlands,94,18,0,badlands,,,
boards,221,18,0,boards,,,
club,545,18,0,club,,,
extractor fan,882,18,0,extractor fan,,,
fog bank,990,18,0,fog bank,,,
iron tubes,1341,18,0,iron tubes,,,
medicines,1527,18,0,medicines,,,
pelt,1808,18,0,pelt,,,
petal,1835,18,0,petal,,,
place card,1895,18,0,place card,,,
reel,2093,18,0,reel,,,
sack,2187,18,0,sack,spices,,
scissors,2242,18,0,scissors,,,
semidesert ground,2294,18,0,semidesert ground,,,
service station,2300,18,0,service station,,"column, door, roof, window",
sheep,2324,18,0,sheep,,,
steam shovel,2553,18,0,steam shovel,,"mirror, wheel",
thermostat,2754,18,0,thermostat,,,
tripod,2863,18,0,tripod,,,
"aquarium, fish tank, marine museum",3126,18,0,aquarium,,,
cells,456,17,0,cells,,,
dolphin,771,17,0,dolphin,wood,,
excavator,871,17,0,excavator,,,
files,926,17,0,files,,,
gravel,1130,17,0,gravel,ground,,
greenhouse,1135,17,0,greenhouse,,"chimney, door",
paper cups,1759,17,0,paper cups,,,
paper filer,1763,17,0,paper filer,,,
parking,1776,17,0,parking,,,
patio,1789,17,0,patio,,,
rocky formations,2146,17,0,rocky formations,,,
roller coaster,2151,17,0,roller coaster,,,
shopping cart,2349,17,0,shopping cart,,,
star,2541,17,0,star,,,
table runner,2690,17,0,table runner,,,
tracks,2831,17,0,tracks,,,
trestle,2859,17,0,trestle,,,
wallet,2983,17,0,wallet,,,
washing machines,2991,17,0,washing machines,,"button, button panel, door",
watchtower,2993,17,0,watchtower,,"door, pane, window",
wires,3070,17,0,wires,electrical,,
cargo,409,16,0,cargo,,,
firewood,945,16,0,firewood,,,
luggage,1477,16,0,luggage,,,
mitten,1569,16,0,mitten,,,
monitors,1584,13,3,monitors,small,screen,computer console
pack of snuff,1717,16,0,pack of snuff,,,
pepper,1824,16,0,pepper,,,
straw bale,2601,16,0,straw bale,,,
tables,2696,16,0,tables,,,
tractor,2832,16,0,tractor,,wheel,
water chute,2996,16,0,water chute,,,
barbecue,125,15,0,barbecue,,,
baskets,149,15,0,baskets,,,
bread roll,282,15,0,bread roll,,,
candy bag,379,15,0,candy bag,,,
coral,617,15,0,coral,reef,,
dashboard,700,15,0,dashboard,,,
dental chair,718,15,0,dental chair,,,
desert,723,15,0,desert,,,
entry phone,862,15,0,entry phone,,,
fairground ride,893,15,0,fairground ride,"drop tower, ferris wheel, rollercoaster, slide",,
forest,1017,15,0,forest,,,
gates,1083,15,0,gates,,,
henhouse,1233,15,0,henhouse,,"door, grille, window",
inflatable glove,1324,15,0,inflatable glove,,,
mountain pass,1607,15,0,mountain pass,,,
packet,1720,15,0,packet,,,
pendant,1819,15,0,pendant,,,
pig,1859,15,0,pig,wood,,
pineapple,1877,15,0,pineapple,,,
plateau,1922,15,0,plateau,,,
pots,1983,15,0,pots,,,
quay,2030,15,0,quay,,,
sheet,2327,15,0,sheet,,,
stalagmite,2535,15,0,stalagmite,,,
stalls,2538,15,0,stalls,,,
swimming pool ladder,2667,15,0,swimming pool ladder,,,
telescope,2731,15,0,telescope,,,
